Name,No.of ratings,Price,ASIN,Customer Reviews,Best Sellers Rank,Date First Available,Packer,Importer,Item Dimensions LxWxH,Net Quantity,Generic Name,Manufacturer
"boAt Rockerz 245 pro Bluetooth in Ear Neckband with Beast Mode(Super Low Latency) for Gaming, ENx Tech for Clear Calls, ASAP Charge, 20HRS Playtime, IPX4, Dual Pairing & BT v5.3(Blue Bliss)",87952.0,1299.0,B0BBVQYCGT,"87,952 ratings
3.9 out of 5 stars","#584 in Electronics (See Top 100 in Electronics)
#153 in In-Ear Headphones",25 August 2022,Imagine Marketing Ltd,Imagine Marketing Ltd,45 x 2 x 2 Centimeters,1 Piece,Bluetooth Neckband,
"boAt Airdopes 190 True Wireless in Ear Earbuds with Beast Mode(50ms) for Gaming, 40H Playtime, Breathing LEDs, Signature Sound, Quad Mics Enx Tech, ASAP Charge & BT v5.3(Black Sabre)",2899.0,1599.0,B0BBTYDK6Y,"2,899 ratings
3.8 out of 5 stars","#137 in Electronics (See Top 100 in Electronics)
#45 in In-Ear Headphones",25 August 2022,Imagine Marketing Ltd,Imagine Marketing Ltd,7 x 5 x 2 Centimeters,1 Piece,True Wireless Earbuds,
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),163179.0,599.0,B07S9S86BF,"163,179 ratings
4.1 out of 5 stars","#54 in Electronics (See Top 100 in Electronics)
#13 in Mobile Accessories
#21 in In-Ear Headphones",27 May 2019,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),366529.0,399.0,B07GQD4K6L,"366,529 ratings
4.1 out of 5 stars","#136 in Electronics (See Top 100 in Electronics)
#32 in Mobile Accessories
#44 in In-Ear Headphones",21 August 2018,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Green),366529.0,399.0,B08MD255XB,"366,529 ratings
4.1 out of 5 stars","#230 in Electronics (See Top 100 in Electronics)
#72 in In-Ear Headphones",1 November 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"boAt Airdopes 141 Pro True Wireless in Ear Earbuds with 45H Playtime, Quad Mics Enx Tech, 12mm Drivers, ASAP Charge, Beast Mode for Gaming & BT v5.3(Siberian White)",45.0,1499.0,B0B7J5ZTXD,"45 ratings
2.9 out of 5 stars","#930 in Electronics (See Top 100 in Electronics)
#213 in In-Ear Headphones",25 July 2022,Imagine Marketing Ltd,Imagine Marketing Ltd,40 x 30 x 20 Millimeters,1 Piece,True Wireless Earbuds,
"Amazon Basics in-Ear Bluetooth 5.0 Neckband with Up to 30 Hours Playtime, with Mic, Magnetic Earbuds, Voice Assistant, Dual Pairing and IPX6 Rated, Blue",5143.0,649.0,B0B8Z498WQ,"5,143 ratings
3.6 out of 5 stars","#598 in Electronics (See Top 100 in Electronics)
#158 in In-Ear Headphones",20 September 2022,"XOR Technologies LLP. A-40, Mayapuri Industrial Area, Phase-1, Delhi-110064",,19.5 x 14 x 3 Centimeters,1 Count,BT Neckband,
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),366529.0,399.0,B07GPXXNNG,"366,529 ratings
4.1 out of 5 stars","#94 in Electronics (See Top 100 in Electronics)
#23 in Mobile Accessories
#31 in In-Ear Headphones",21 August 2018,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"boAt Newly Launched Wave Style Call with Advanced Dedicated Bluetooth Calling Chip, 600+ Watch Faces, 1.69"" HD Display, Health Ecosystem, Live Cricket Scores, Quick Replies, HR & SpO2(Active Black)",150.0,1899.0,B0BRL3C7HL,"150 ratings
3.8 out of 5 stars","#10 in Watches (See Top 100 in Watches)
#3 in Women's Fashion Smartwatches
#7 in Men's Fashion Smartwatches",13 January 2023,Imagine Marketing Ltd,,26 x 5 x 1 Centimeters,1 Piece,Smart Watch,
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)",108900.0,1399.0,B07PR1CL3S,"108,900 ratings
4.1 out of 5 stars","#46 in Electronics (See Top 100 in Electronics)
#1 in On-Ear Headphones",15 March 2019,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",8 x 18.2 x 17.6 Centimeters,1 Piece,Headphones,
"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation with Mic (Black Symphony)",56010.0,1799.0,B08R7M1JM5,"56,010 ratings
4.1 out of 5 stars","#167 in Electronics (See Top 100 in Electronics)
#1 in Over-Ear Headphones",23 December 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",8.6 x 19.1 x 16.2 Centimeters,1 Piece,Headphones,
boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),92550.0,499.0,B07KY3FNQP,"92,550 ratings
4.1 out of 5 stars","#297 in Electronics (See Top 100 in Electronics)
#86 in In-Ear Headphones",28 November 2018,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 102 in Ear Wired Earphones with Mic(Jazzy Blue),76565.0,449.0,B07S6NT9V7,"76,565 ratings
4.2 out of 5 stars","#892 in Electronics (See Top 100 in Electronics)
#208 in In-Ear Headphones",27 May 2019,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),274625.0,699.0,B01MF8MB65,"274,625 ratings
4.1 out of 5 stars","#725 in Electronics (See Top 100 in Electronics)
#177 in In-Ear Headphones",29 September 2021,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),92550.0,499.0,B07KY3K2YG,"92,550 ratings
4.1 out of 5 stars","#80 in Electronics (See Top 100 in Electronics)
#28 in In-Ear Headphones",28 November 2018,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),366529.0,399.0,B071Z8M4KX,"366,529 ratings
4.1 out of 5 stars","#10 in Electronics (See Top 100 in Electronics)
#5 in In-Ear Headphones",16 May 2017,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)",108900.0,1399.0,B07PR1CL3S,"108,900 ratings
4.1 out of 5 stars","#46 in Electronics (See Top 100 in Electronics)
#1 in On-Ear Headphones",15 March 2019,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",8 x 18.2 x 17.6 Centimeters,1 Piece,Headphones,
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0, with Mic (Buoyant Black)",34245.0,999.0,B0856HNMR7,"34,245 ratings
4.0 out of 5 stars","#256 in Electronics (See Top 100 in Electronics)
#4 in On-Ear Headphones",26 February 2020,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",7 x 18 x 16 Centimeters,1 Piece,Headphones,
boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),92550.0,499.0,B07KY3K2YG,"92,550 ratings
4.1 out of 5 stars","#80 in Electronics (See Top 100 in Electronics)
#28 in In-Ear Headphones",28 November 2018,Imagine Marketing Ltd,"Imagine Marketing Pvt Ltd., 255, Guru Gobind Industrial Estate, Jay Coach, Goregaon East, Mumbai, Maharashtra- 400063",120 x 1 x 1 Centimeters,1 Piece,Headphones,
"Amazon Basics in-Ear Bluetooth 5.0 Neckband with Up to 30 Hours Playtime, with Mic, Magnetic Earbuds, Voice Assistant, Dual Pairing and IPX6 Rated, Blue",5143.0,649.0,B0B8Z498WQ,"5,143 ratings
3.6 out of 5 stars","#598 in Electronics (See Top 100 in Electronics)
#158 in In-Ear Headphones",20 September 2022,"XOR Technologies LLP. A-40, Mayapuri Industrial Area, Phase-1, Delhi-110064",,19.5 x 14 x 3 Centimeters,1 Count,BT Neckband,
"boAt Wave Electra with 1.81"" HD Display, Smart Calling with Ultra-Seamless BT Calling Chip,20 Built-in Watch Faces,100 + Sports Modes,Menu Personalization,in-Built Games(Charcoal Black)",599.0,1999.0,B0BNV7JM5Y,"599 ratings
3.7 out of 5 stars","#165 in Electronics (See Top 100 in Electronics)
#20 in Smart Watches",24 December 2022,Imagine Marketing Ltd,,26 x 4 x 1 Centimeters,1 Piece,Smart Watch,
"boAt Airdopes 141 Pro True Wireless in Ear Earbuds with 45H Playtime, Quad Mics Enx Tech, 12mm Drivers, ASAP Charge, Beast Mode for Gaming & BT v5.3(Siberian White)",45.0,1499.0,B0B7J5ZTXD,"45 ratings
2.9 out of 5 stars","#930 in Electronics (See Top 100 in Electronics)
#213 in In-Ear Headphones",25 July 2022,Imagine Marketing Ltd,Imagine Marketing Ltd,40 x 30 x 20 Millimeters,1 Piece,True Wireless Earbuds,
boAt Bassheads 220 Wired in Ear Earphones(Black Indi),48.0,499.0,B0BRXY7FQB,"48 ratings
3.4 out of 5 stars","#106 in Electronics (See Top 100 in Electronics)
#34 in In-Ear Headphones",9 January 2023,Imagine Marketing Ltd,,120 x 2 x 2 Centimeters,1 Piece,Wired Earphones,
boAt Bassheads 220 Wired in Ear Earphones(Black Indi),48.0,499.0,B0BRXY7FQB,"48 ratings
3.4 out of 5 stars","#106 in Electronics (See Top 100 in Electronics)
#34 in In-Ear Headphones",9 January 2023,Imagine Marketing Ltd,,120 x 2 x 2 Centimeters,1 Piece,Wired Earphones,
